,Date,Seller,State,Product,Unit_Value,Qty_sold,Sales_amount,Profit,Payment_term,State_name,Month,Weekday,Profit_margin,Region
16,2021-01-01,Paula Amorim,SC,Tablet,500,0,0,0,Credit card,"Santa Catarina, SC",January-2021,Fri,,South
17,2021-01-01,Paula Amorim,DF,Notebook,700,2,1400,700,Credit card,"Distrito Federal, DF",January-2021,Fri,0.5,Midwest
18,2021-01-01,Vanessa Souza,PA,Cellphone,300,4,1200,600,Credit card,"Pará, PA",January-2021,Fri,0.5,North
19,2021-01-01,Vanessa Souza,RJ,Tablet,500,6,3000,900,Credit card,"Rio de Janeiro, RJ",January-2021,Fri,0.3,Southeast
20,2021-01-01,Vanessa Souza,SC,Notebook,700,6,4200,1300,Payment slip,"Santa Catarina, SC",January-2021,Fri,0.3095,South
21,2021-01-01,Paula Amorim,TO,Cellphone,300,0,0,0,Credit card,"Tocantins, TO",January-2021,Fri,,North
22,2021-01-01,Bruna Castro,MS,Tablet,500,2,1000,200,Credit card,"Mato Grosso do Sul, MS",January-2021,Fri,0.2,Midwest
23,2021-01-01,Vanessa Souza,GO,Notebook,700,1,700,100,Credit card,"Goias, GO",January-2021,Fri,0.1429,Midwest
24,2021-01-01,Marco Maia,TO,Cellphone,300,3,900,400,Payment slip,"Tocantins, TO",January-2021,Fri,0.4444,North
25,2021-01-01,Marco Maia,SE,Tablet,500,5,2500,1200,Credit card,"Sergipe, SE",January-2021,Fri,0.48,Northeast
26,2021-01-01,Marco Maia,AL,Notebook,700,3,2100,1200,Credit card,"Alagoas, AL",January-2021,Fri,0.5714,Northeast
27,2021-01-01,Paula Amorim,AL,Cellphone,300,4,1200,700,Payment slip,"Alagoas, AL",January-2021,Fri,0.5833,Northeast
28,2021-01-01,Paula Amorim,MA,Tablet,500,2,1000,400,Credit card,"Maranhão, MA",January-2021,Fri,0.4,Northeast
29,2021-01-01,Paula Amorim,AP,Notebook,700,2,1400,400,Credit card,"Amapá, AP",January-2021,Fri,0.2857,North
30,2021-01-01,Vanessa Souza,PB,Cellphone,300,2,600,200,Credit card,"Paraíba, PB",January-2021,Fri,0.3333,Northeast
31,2021-01-01,Vanessa Souza,PB,Tablet,500,1,500,200,Credit card,"Paraíba, PB",January-2021,Fri,0.4,Northeast
32,2021-01-01,Vanessa Souza,SE,Notebook,700,3,2100,1300,Payment slip,"Sergipe, SE",January-2021,Fri,0.619,Northeast
33,2021-01-01,Bruna Castro,GO,Cellphone,300,2,600,300,Credit card,"Goias, GO",January-2021,Fri,0.5,Midwest
34,2021-01-01,Vanessa Souza,CE,Tablet,500,3,1500,700,Credit card,"Ceará, CE",January-2021,Fri,0.4667,Northeast
35,2021-01-01,Vanessa Souza,TO,Notebook,700,3,2100,900,Credit card,"Tocantins, TO",January-2021,Fri,0.4286,North
36,2021-01-02,Marco Maia,MG,Cellphone,300,6,1800,400,Credit card,"Minas Gerais, MG",January-2021,Sat,0.2222,Southeast
37,2021-01-02,Marco Maia,MA,Tablet,500,4,2000,800,Credit card,"Maranhão, MA",January-2021,Sat,0.4,Northeast
38,2021-01-02,Marco Maia,PA,Notebook,700,4,2800,1200,Credit card,"Pará, PA",January-2021,Sat,0.4286,North
39,2021-01-02,Paula Amorim,SP,Cellphone,300,7,2100,1300,Credit card,"São Paulo, SP",January-2021,Sat,0.619,Southeast
40,2021-01-02,Paula Amorim,PI,Tablet,500,7,3500,700,Payment slip,"Piauí, PI",January-2021,Sat,0.2,Northeast
41,2021-01-02,Paula Amorim,PB,Notebook,700,5,3500,1900,Credit card,"Paraíba, PB",January-2021,Sat,0.5429,Northeast
42,2021-01-02,Vanessa Souza,AM,Cellphone,300,2,600,100,Payment slip,"Amazonas, AM",January-2021,Sat,0.1667,North
43,2021-01-02,Vanessa Souza,PA,Tablet,500,7,3500,1500,Credit card,"Pará, PA",January-2021,Sat,0.4286,North
44,2021-01-02,Vanessa Souza,SC,Notebook,700,2,1400,800,Credit card,"Santa Catarina, SC",January-2021,Sat,0.5714,South
45,2021-01-02,Bruna Castro,GO,Cellphone,300,9,2700,900,Credit card,"Goias, GO",January-2021,Sat,0.3333,Midwest
46,2021-01-02,Vanessa Souza,MS,Tablet,500,8,4000,2100,Credit card,"Mato Grosso do Sul, MS",January-2021,Sat,0.525,Midwest
47,2021-01-02,Vanessa Souza,RJ,Notebook,700,8,5600,2100,Credit card,"Rio de Janeiro, RJ",January-2021,Sat,0.375,Southeast
48,2021-01-02,Marco Maia,MT,Cellphone,300,5,1500,700,Credit card,"Mato Grosso, MT",January-2021,Sat,0.4667,Midwest
49,2021-01-02,Marco Maia,RS,Tablet,500,6,3000,1100,Payment slip,"Rio Grande do Sul, RS",January-2021,Sat,0.3667,South
50,2021-01-02,Marco Maia,RO,Notebook,700,5,3500,1700,Credit card,"Rondônia, RO",January-2021,Sat,0.4857,North
51,2021-01-02,Paula Amorim,PB,Cellphone,300,4,1200,500,Credit card,"Paraíba, PB",January-2021,Sat,0.4167,Northeast
52,2021-01-02,Paula Amorim,SC,Tablet,500,6,3000,1500,Payment slip,"Santa Catarina, SC",January-2021,Sat,0.5,South
53,2021-01-02,Paula Amorim,RS,Notebook,700,0,0,0,Credit card,"Rio Grande do Sul, RS",January-2021,Sat,,South
54,2021-01-02,Vanessa Souza,ES,Cellphone,300,5,1500,700,Credit card,"Espírito Santo, ES",January-2021,Sat,0.4667,Southeast
55,2021-01-02,Vanessa Souza,MT,Tablet,500,3,1500,900,Credit card,"Mato Grosso, MT",January-2021,Sat,0.6,Midwest
56,2021-01-02,Vanessa Souza,RO,Notebook,700,5,3500,2100,Credit card,"Rondônia, RO",January-2021,Sat,0.6,North
57,2021-01-02,Vanessa Souza,PR,Cellphone,300,4,1200,700,Credit card,"Paraná, PR",January-2021,Sat,0.5833,South
58,2021-01-02,Bruna Castro,AP,Tablet,500,0,0,0,Credit card,"Amapá, AP",January-2021,Sat,,North
59,2021-01-02,Vanessa Souza,AC,Notebook,700,0,0,0,Payment slip,"Acre, AC",January-2021,Sat,,North
60,2021-01-02,Marco Maia,SP,Cellphone,300,5,1500,800,Payment slip,"São Paulo, SP",January-2021,Sat,0.5333,Southeast
61,2021-01-02,Marco Maia,MT,Tablet,500,2,1000,500,Credit card,"Mato Grosso, MT",January-2021,Sat,0.5,Midwest
62,2021-01-02,Marco Maia,BA,Notebook,700,1,700,400,Payment slip,"Bahia, BA",January-2021,Sat,0.5714,Northeast
63,2021-01-02,Paula Amorim,BA,Cellphone,300,4,1200,300,Credit card,"Bahia, BA",January-2021,Sat,0.25,Northeast
64,2021-01-02,Paula Amorim,MG,Tablet,500,1,500,300,Credit card,"Minas Gerais, MG",January-2021,Sat,0.6,Southeast
65,2021-01-02,Paula Amorim,AL,Notebook,700,1,700,400,Credit card,"Alagoas, AL",January-2021,Sat,0.5714,Northeast
66,2021-01-02,Vanessa Souza,AL,Cellphone,300,1,300,200,Payment slip,"Alagoas, AL",January-2021,Sat,0.6667,Northeast
67,2021-01-02,Vanessa Souza,RJ,Tablet,500,0,0,0,Payment slip,"Rio de Janeiro, RJ",January-2021,Sat,,Southeast
68,2021-01-02,Vanessa Souza,DF,Notebook,700,1,700,300,Credit card,"Distrito Federal, DF",January-2021,Sat,0.4286,Midwest
69,2021-01-02,Bruna Castro,SC,Cellphone,300,2,600,200,Payment slip,"Santa Catarina, SC",January-2021,Sat,0.3333,South
70,2021-01-02,Bruna Castro,PI,Tablet,500,1,500,200,Credit card,"Piauí, PI",January-2021,Sat,0.4,Northeast
71,2021-01-02,Bruna Castro,GO,Notebook,700,1,700,200,Payment slip,"Goias, GO",January-2021,Sat,0.2857,Midwest
72,2021-01-03,Marco Maia,AP,Cellphone,300,4,1200,300,Payment slip,"Amapá, AP",January-2021,Sun,0.25,North
73,2021-01-03,Marco Maia,RO,Tablet,500,1,500,100,Credit card,"Rondônia, RO",January-2021,Sun,0.2,North
74,2021-01-03,Marco Maia,AM,Notebook,700,0,0,0,Credit card,"Amazonas, AM",January-2021,Sun,,North
75,2021-01-03,Paula Amorim,AL,Cellphone,300,5,1500,400,Payment slip,"Alagoas, AL",January-2021,Sun,0.2667,Northeast
76,2021-01-03,Paula Amorim,MT,Tablet,500,1,500,300,Credit card,"Mato Grosso, MT",January-2021,Sun,0.6,Midwest
77,2021-01-03,Paula Amorim,MA,Notebook,700,7,4900,1400,Credit card,"Maranhão, MA",January-2021,Sun,0.2857,Northeast
78,2021-01-03,Vanessa Souza,PB,Cellphone,300,6,1800,1000,Credit card,"Paraíba, PB",January-2021,Sun,0.5556,Northeast
79,2021-01-03,Vanessa Souza,RJ,Tablet,500,7,3500,700,Credit card,"Rio de Janeiro, RJ",January-2021,Sun,0.2,Southeast
80,2021-01-03,Vanessa Souza,RO,Notebook,700,1,700,200,Credit card,"Rondônia, RO",January-2021,Sun,0.2857,North
81,2021-01-03,Paula Amorim,RS,Cellphone,300,0,0,0,Credit card,"Rio Grande do Sul, RS",January-2021,Sun,,South
82,2021-01-03,Bruna Castro,PE,Tablet,500,6,3000,1100,Credit card,"Pernambuco, PE",January-2021,Sun,0.3667,Northeast
83,2021-01-03,Paula Amorim,RJ,Notebook,700,3,2100,700,Credit card,"Rio de Janeiro, RJ",January-2021,Sun,0.3333,Southeast
84,2021-01-03,Marco Maia,RJ,Cellphone,300,6,1800,1100,Payment slip,"Rio de Janeiro, RJ",January-2021,Sun,0.6111,Southeast
85,2021-01-03,Marco Maia,AC,Tablet,500,2,1000,500,Credit card,"Acre, AC",January-2021,Sun,0.5,North
86,2021-01-03,Marco Maia,GO,Notebook,700,2,1400,600,Payment slip,"Goias, GO",January-2021,Sun,0.4286,Midwest
87,2021-01-03,Paula Amorim,RJ,Cellphone,300,6,1800,500,Credit card,"Rio de Janeiro, RJ",January-2021,Sun,0.2778,Southeast
88,2021-01-03,Paula Amorim,MS,Tablet,500,0,0,0,Credit card,"Mato Grosso do Sul, MS",January-2021,Sun,,Midwest
89,2021-01-03,Paula Amorim,SP,Notebook,700,8,5600,2400,Credit card,"São Paulo, SP",January-2021,Sun,0.4286,Southeast
90,2021-01-03,Vanessa Souza,SE,Cellphone,300,5,1500,800,Credit card,"Sergipe, SE",January-2021,Sun,0.5333,Northeast
91,2021-01-03,Vanessa Souza,RO,Tablet,500,2,1000,300,Credit card,"Rondônia, RO",January-2021,Sun,0.3,North
92,2021-01-03,Vanessa Souza,CE,Notebook,700,2,1400,400,Credit card,"Ceará, CE",January-2021,Sun,0.2857,Northeast
93,2021-01-03,Vanessa Souza,TO,Cellphone,300,1,300,100,Credit card,"Tocantins, TO",January-2021,Sun,0.3333,North
94,2021-01-03,Bruna Castro,RO,Tablet,500,3,1500,800,Payment slip,"Rondônia, RO",January-2021,Sun,0.5333,North
95,2021-01-03,Bruna Castro,MG,Notebook,700,4,2800,1400,Payment slip,"Minas Gerais, MG",January-2021,Sun,0.5,Southeast
96,2021-01-03,Marco Maia,PA,Cellphone,300,3,900,300,Payment slip,"Pará, PA",January-2021,Sun,0.3333,North
97,2021-01-03,Marco Maia,RS,Tablet,500,6,3000,1700,Payment slip,"Rio Grande do Sul, RS",January-2021,Sun,0.5667,South
98,2021-01-03,Marco Maia,GO,Notebook,700,2,1400,400,Credit card,"Goias, GO",January-2021,Sun,0.2857,Midwest
99,2021-01-03,Paula Amorim,DF,Cellphone,300,2,600,300,Payment slip,"Distrito Federal, DF",January-2021,Sun,0.5,Midwest
100,2021-01-03,Paula Amorim,RJ,Tablet,500,2,1000,500,Payment slip,"Rio de Janeiro, RJ",January-2021,Sun,0.5,Southeast
101,2021-01-03,Paula Amorim,RO,Notebook,700,0,0,0,Credit card,"Rondônia, RO",January-2021,Sun,,North
102,2021-01-03,Vanessa Souza,RS,Cellphone,300,1,300,200,Credit card,"Rio Grande do Sul, RS",January-2021,Sun,0.6667,South
103,2021-01-03,Vanessa Souza,DF,Tablet,500,4,2000,1000,Credit card,"Distrito Federal, DF",January-2021,Sun,0.5,Midwest
104,2021-01-03,Vanessa Souza,SE,Notebook,700,2,1400,500,Credit card,"Sergipe, SE",January-2021,Sun,0.3571,Northeast
105,2021-01-03,Paula Amorim,AL,Cellphone,300,1,300,100,Credit card,"Alagoas, AL",January-2021,Sun,0.3333,Northeast
106,2021-01-03,Bruna Castro,SE,Tablet,500,2,1000,400,Credit card,"Sergipe, SE",January-2021,Sun,0.4,Northeast
107,2021-01-03,Vanessa Souza,PR,Notebook,700,3,2100,700,Payment slip,"Paraná, PR",January-2021,Sun,0.3333,South
108,2021-01-04,Marco Maia,PA,Cellphone,300,5,1500,300,Credit card,"Pará, PA",January-2021,Mon,0.2,North
109,2021-01-04,Marco Maia,GO,Tablet,500,5,2500,1300,Credit card,"Goias, GO",January-2021,Mon,0.52,Midwest
110,2021-01-04,Marco Maia,PR,Notebook,700,2,1400,300,Credit card,"Paraná, PR",January-2021,Mon,0.2143,South
111,2021-01-04,Paula Amorim,ES,Cellphone,300,6,1800,1000,Credit card,"Espírito Santo, ES",January-2021,Mon,0.5556,Southeast
112,2021-01-04,Paula Amorim,PR,Tablet,500,4,2000,1200,Payment slip,"Paraná, PR",January-2021,Mon,0.6,South
113,2021-01-04,Paula Amorim,RO,Notebook,700,6,4200,1600,Credit card,"Rondônia, RO",January-2021,Mon,0.381,North
114,2021-01-04,Vanessa Souza,BA,Cellphone,300,2,600,100,Credit card,"Bahia, BA",January-2021,Mon,0.1667,Northeast
115,2021-01-04,Vanessa Souza,AL,Tablet,500,4,2000,1200,Credit card,"Alagoas, AL",January-2021,Mon,0.6,Northeast
116,2021-01-04,Vanessa Souza,MT,Notebook,700,4,2800,1300,Credit card,"Mato Grosso, MT",January-2021,Mon,0.4643,Midwest
117,2021-01-04,Paula Amorim,MS,Cellphone,300,4,1200,400,Payment slip,"Mato Grosso do Sul, MS",January-2021,Mon,0.3333,Midwest
118,2021-01-04,Bruna Castro,MA,Tablet,500,7,3500,2200,Payment slip,"Maranhão, MA",January-2021,Mon,0.6286,Northeast
119,2021-01-04,Bruna Castro,PB,Notebook,700,0,0,0,Credit card,"Paraíba, PB",January-2021,Mon,,Northeast
120,2021-01-04,Marco Maia,RR,Cellphone,300,4,1200,400,Payment slip,"Roraima, RR",January-2021,Mon,0.3333,North
121,2021-01-04,Marco Maia,RO,Tablet,500,6,3000,1100,Credit card,"Rondônia, RO",January-2021,Mon,0.3667,North
122,2021-01-04,Marco Maia,PE,Notebook,700,0,0,0,Credit card,"Pernambuco, PE",January-2021,Mon,,Northeast
123,2021-01-04,Paula Amorim,AL,Cellphone,300,2,600,300,Credit card,"Alagoas, AL",January-2021,Mon,0.5,Northeast
124,2021-01-04,Paula Amorim,GO,Tablet,500,6,3000,1400,Credit card,"Goias, GO",January-2021,Mon,0.4667,Midwest
125,2021-01-04,Paula Amorim,AL,Notebook,700,8,5600,2200,Credit card,"Alagoas, AL",January-2021,Mon,0.3929,Northeast
126,2021-01-04,Vanessa Souza,AC,Cellphone,300,9,2700,1200,Credit card,"Acre, AC",January-2021,Mon,0.4444,North
127,2021-01-04,Vanessa Souza,AM,Tablet,500,7,3500,1800,Credit card,"Amazonas, AM",January-2021,Mon,0.5143,North
128,2021-01-04,Vanessa Souza,GO,Notebook,700,5,3500,1400,Credit card,"Goias, GO",January-2021,Mon,0.4,Midwest
129,2021-01-04,Paula Amorim,AL,Cellphone,300,4,1200,300,Credit card,"Alagoas, AL",January-2021,Mon,0.25,Northeast
130,2021-01-04,Paula Amorim,RJ,Tablet,500,0,0,0,Credit card,"Rio de Janeiro, RJ",January-2021,Mon,,Southeast
131,2021-01-04,Bruna Castro,MG,Notebook,700,1,700,200,Credit card,"Minas Gerais, MG",January-2021,Mon,0.2857,Southeast
132,2021-01-04,Marco Maia,AC,Cellphone,300,0,0,0,Credit card,"Acre, AC",January-2021,Mon,,North
133,2021-01-04,Marco Maia,MA,Tablet,500,1,500,200,Credit card,"Maranhão, MA",January-2021,Mon,0.4,Northeast
134,2021-01-04,Marco Maia,MA,Notebook,700,6,4200,2200,Credit card,"Maranhão, MA",January-2021,Mon,0.5238,Northeast
135,2021-01-04,Paula Amorim,PR,Cellphone,300,3,900,400,Payment slip,"Paraná, PR",January-2021,Mon,0.4444,South
136,2021-01-04,Paula Amorim,PB,Tablet,500,0,0,0,Payment slip,"Paraíba, PB",January-2021,Mon,,Northeast
137,2021-01-04,Paula Amorim,MG,Notebook,700,3,2100,1200,Credit card,"Minas Gerais, MG",January-2021,Mon,0.5714,Southeast
138,2021-01-04,Vanessa Souza,PR,Cellphone,300,1,300,200,Credit card,"Paraná, PR",January-2021,Mon,0.6667,South
139,2021-01-04,Vanessa Souza,SC,Tablet,500,1,500,300,Credit card,"Santa Catarina, SC",January-2021,Mon,0.6,South
140,2021-01-04,Vanessa Souza,MA,Notebook,700,2,1400,800,Credit card,"Maranhão, MA",January-2021,Mon,0.5714,Northeast
141,2021-01-04,Vanessa Souza,SP,Cellphone,300,2,600,300,Credit card,"São Paulo, SP",January-2021,Mon,0.5,Southeast
142,2021-01-04,Vanessa Souza,SP,Tablet,500,1,500,100,Credit card,"São Paulo, SP",January-2021,Mon,0.2,Southeast
143,2021-01-04,Bruna Castro,RR,Notebook,700,3,2100,800,Credit card,"Roraima, RR",January-2021,Mon,0.381,North
144,2021-01-05,Marco Maia,AL,Cellphone,300,3,900,200,Payment slip,"Alagoas, AL",January-2021,Tue,0.2222,Northeast
145,2021-01-05,Marco Maia,RR,Tablet,500,5,2500,600,Credit card,"Roraima, RR",January-2021,Tue,0.24,North
146,2021-01-05,Marco Maia,MG,Notebook,700,0,0,0,Credit card,"Minas Gerais, MG",January-2021,Tue,,Southeast
147,2021-01-05,Paula Amorim,AC,Cellphone,300,8,2400,1100,Payment slip,"Acre, AC",January-2021,Tue,0.4583,North
148,2021-01-05,Paula Amorim,MG,Tablet,500,7,3500,2200,Credit card,"Minas Gerais, MG",January-2021,Tue,0.6286,Southeast
149,2021-01-05,Paula Amorim,TO,Notebook,700,2,1400,700,Credit card,"Tocantins, TO",January-2021,Tue,0.5,North
150,2021-01-05,Vanessa Souza,TO,Cellphone,300,3,900,200,Credit card,"Tocantins, TO",January-2021,Tue,0.2222,North
151,2021-01-05,Vanessa Souza,RN,Tablet,500,3,1500,800,Credit card,"Rio Grande do Norte, RN",January-2021,Tue,0.5333,Northeast
152,2021-01-05,Vanessa Souza,ES,Notebook,700,2,1400,300,Credit card,"Espírito Santo, ES",January-2021,Tue,0.2143,Southeast
153,2021-01-05,Bruna Castro,PE,Cellphone,300,0,0,0,Credit card,"Pernambuco, PE",January-2021,Tue,,Northeast
154,2021-01-05,Vanessa Souza,PA,Tablet,500,5,2500,700,Credit card,"Pará, PA",January-2021,Tue,0.28,North
155,2021-01-05,Paula Amorim,GO,Notebook,700,4,2800,700,Credit card,"Goias, GO",January-2021,Tue,0.25,Midwest
156,2021-01-05,Marco Maia,CE,Cellphone,300,2,600,400,Credit card,"Ceará, CE",January-2021,Tue,0.6667,Northeast
157,2021-01-05,Marco Maia,CE,Tablet,500,1,500,200,Credit card,"Ceará, CE",January-2021,Tue,0.4,Northeast
158,2021-01-05,Marco Maia,PB,Notebook,700,5,3500,2100,Credit card,"Paraíba, PB",January-2021,Tue,0.6,Northeast
159,2021-01-05,Paula Amorim,RO,Cellphone,300,1,300,100,Credit card,"Rondônia, RO",January-2021,Tue,0.3333,North
160,2021-01-05,Paula Amorim,TO,Tablet,500,2,1000,200,Credit card,"Tocantins, TO",January-2021,Tue,0.2,North
161,2021-01-05,Paula Amorim,RN,Notebook,700,7,4900,2600,Credit card,"Rio Grande do Norte, RN",January-2021,Tue,0.5306,Northeast
162,2021-01-05,Vanessa Souza,RS,Cellphone,300,9,2700,900,Credit card,"Rio Grande do Sul, RS",January-2021,Tue,0.3333,South
163,2021-01-05,Vanessa Souza,PR,Tablet,500,3,1500,700,Credit card,"Paraná, PR",January-2021,Tue,0.4667,South
164,2021-01-05,Vanessa Souza,AL,Notebook,700,5,3500,800,Credit card,"Alagoas, AL",January-2021,Tue,0.2286,Northeast
165,2021-01-05,Vanessa Souza,MG,Cellphone,300,0,0,0,Credit card,"Minas Gerais, MG",January-2021,Tue,,Southeast
166,2021-01-05,Bruna Castro,BA,Tablet,500,4,2000,500,Credit card,"Bahia, BA",January-2021,Tue,0.25,Northeast
167,2021-01-05,Vanessa Souza,PE,Notebook,700,2,1400,800,Credit card,"Pernambuco, PE",January-2021,Tue,0.5714,Northeast
168,2021-01-05,Marco Maia,PB,Cellphone,300,6,1800,900,Credit card,"Paraíba, PB",January-2021,Tue,0.5,Northeast
169,2021-01-05,Marco Maia,RN,Tablet,500,5,2500,700,Credit card,"Rio Grande do Norte, RN",January-2021,Tue,0.28,Northeast
170,2021-01-05,Marco Maia,BA,Notebook,700,2,1400,400,Credit card,"Bahia, BA",January-2021,Tue,0.2857,Northeast
171,2021-01-05,Paula Amorim,TO,Cellphone,300,1,300,200,Credit card,"Tocantins, TO",January-2021,Tue,0.6667,North
172,2021-01-05,Paula Amorim,PR,Tablet,500,3,1500,500,Credit card,"Paraná, PR",January-2021,Tue,0.3333,South
173,2021-01-05,Paula Amorim,AL,Notebook,700,0,0,0,Payment slip,"Alagoas, AL",January-2021,Tue,,Northeast
174,2021-01-05,Vanessa Souza,RS,Cellphone,300,1,300,200,Credit card,"Rio Grande do Sul, RS",January-2021,Tue,0.6667,South
175,2021-01-05,Vanessa Souza,ES,Tablet,500,1,500,200,Payment slip,"Espírito Santo, ES",January-2021,Tue,0.4,Southeast
176,2021-01-05,Vanessa Souza,PE,Notebook,700,1,700,300,Payment slip,"Pernambuco, PE",January-2021,Tue,0.4286,Northeast
177,2021-01-05,Paula Amorim,SP,Cellphone,300,1,300,100,Credit card,"São Paulo, SP",January-2021,Tue,0.3333,Southeast
178,2021-01-05,Bruna Castro,AL,Tablet,500,2,1000,600,Credit card,"Alagoas, AL",January-2021,Tue,0.6,Northeast
179,2021-01-05,Paula Amorim,AL,Notebook,700,1,700,400,Credit card,"Alagoas, AL",January-2021,Tue,0.5714,Northeast
180,2021-01-06,Marco Maia,BA,Cellphone,300,5,1500,600,Credit card,"Bahia, BA",January-2021,Wed,0.4,Northeast
181,2021-01-06,Marco Maia,GO,Tablet,500,1,500,200,Credit card,"Goias, GO",January-2021,Wed,0.4,Midwest
182,2021-01-06,Marco Maia,CE,Notebook,700,4,2800,1000,Credit card,"Ceará, CE",January-2021,Wed,0.3571,Northeast
183,2021-01-06,Paula Amorim,AL,Cellphone,300,2,600,300,Credit card,"Alagoas, AL",January-2021,Wed,0.5,Northeast
184,2021-01-06,Paula Amorim,SP,Tablet,500,5,2500,900,Credit card,"São Paulo, SP",January-2021,Wed,0.36,Southeast
185,2021-01-06,Paula Amorim,PR,Notebook,700,1,700,200,Payment slip,"Paraná, PR",January-2021,Wed,0.2857,South
186,2021-01-06,Vanessa Souza,AM,Cellphone,300,7,2100,500,Credit card,"Amazonas, AM",January-2021,Wed,0.2381,North
187,2021-01-06,Vanessa Souza,AM,Tablet,500,6,3000,1800,Credit card,"Amazonas, AM",January-2021,Wed,0.6,North
188,2021-01-06,Vanessa Souza,PB,Notebook,700,2,1400,600,Credit card,"Paraíba, PB",January-2021,Wed,0.4286,Northeast
189,2021-01-06,Paula Amorim,PI,Cellphone,300,3,900,300,Credit card,"Piauí, PI",January-2021,Wed,0.3333,Northeast
190,2021-01-06,Bruna Castro,AL,Tablet,500,8,4000,2400,Credit card,"Alagoas, AL",January-2021,Wed,0.6,Northeast
191,2021-01-06,Vanessa Souza,PR,Notebook,700,9,6300,4000,Credit card,"Paraná, PR",January-2021,Wed,0.6349,South
192,2021-01-06,Marco Maia,CE,Cellphone,300,2,600,200,Payment slip,"Ceará, CE",January-2021,Wed,0.3333,Northeast
193,2021-01-06,Marco Maia,ES,Tablet,500,4,2000,1000,Credit card,"Espírito Santo, ES",January-2021,Wed,0.5,Southeast
194,2021-01-06,Marco Maia,MT,Notebook,700,6,4200,1800,Credit card,"Mato Grosso, MT",January-2021,Wed,0.4286,Midwest
195,2021-01-06,Paula Amorim,CE,Cellphone,300,2,600,300,Credit card,"Ceará, CE",January-2021,Wed,0.5,Northeast
196,2021-01-06,Paula Amorim,GO,Tablet,500,6,3000,1800,Credit card,"Goias, GO",January-2021,Wed,0.6,Midwest
197,2021-01-06,Paula Amorim,RO,Notebook,700,7,4900,3000,Payment slip,"Rondônia, RO",January-2021,Wed,0.6122,North
198,2021-01-06,Vanessa Souza,PI,Cellphone,300,5,1500,300,Credit card,"Piauí, PI",January-2021,Wed,0.2,Northeast
199,2021-01-06,Vanessa Souza,MA,Tablet,500,6,3000,1700,Credit card,"Maranhão, MA",January-2021,Wed,0.5667,Northeast
200,2021-01-06,Vanessa Souza,BA,Notebook,700,8,5600,1800,Credit card,"Bahia, BA",January-2021,Wed,0.3214,Northeast
201,2021-01-06,Bruna Castro,PI,Cellphone,300,4,1200,400,Payment slip,"Piauí, PI",January-2021,Wed,0.3333,Northeast
202,2021-01-06,Paula Amorim,PE,Tablet,500,1,500,200,Credit card,"Pernambuco, PE",January-2021,Wed,0.4,Northeast
203,2021-01-06,Bruna Castro,MG,Notebook,700,3,2100,600,Credit card,"Minas Gerais, MG",January-2021,Wed,0.2857,Southeast
204,2021-01-06,Marco Maia,TO,Cellphone,300,1,300,200,Credit card,"Tocantins, TO",January-2021,Wed,0.6667,North
205,2021-01-06,Marco Maia,BA,Tablet,500,0,0,0,Credit card,"Bahia, BA",January-2021,Wed,,Northeast
